1,CH1,Chicago
2,SN2,San Antonio
3,DB3,Dublin
4,HKN,Hong Kong
5,AM1,Amsterdam
6,AM3,Amsterdam
7,SG1,Singapore
8,DB4,Dublin
9,DM2,Des moines
10,BN1,Boydton1
11,CPQ,??
12,HK2,Hong Kong
13,BN3,Boydton2
14,KAW,Kawaguchi, japan
15,OSA,Osaka, japan
16,GRU,Brazil
17,SN2,San Antonio
18,AM1,Amsterdam
19,DB3,Dublin
20,BJB,Beijing
21,SHA,Shanghai
22,CO1,Columbia1
23,CP1,Canyon park 1
24,BL2,Blue ridge2
